R,qr,qt,w
6.558695e+01,6.669810e-01,2.869271e+00,1.141751e+03
4.155359e+01,6.064952e-01,1.781826e+00,2.181723e+02
1.243761e+02,-2.332571e+00,2.004505e+00,9.747304e+03
3.775385e+01,1.804461e-01,1.434695e+00,2.276217e+02
2.362197e+01,-1.080816e+00,2.011378e+00,1.214432e+02
1.971172e+01,1.238784e+00,4.184520e+00,1.044159e+02
2.619533e+01,2.720293e+00,5.474314e+00,1.365565e+02
2.373763e+01,2.197804e+00,2.681082e+00,1.040861e+02
1.327159e+02,4.569835e-02,2.702767e+00,9.836048e+03
3.510152e+01,-3.201640e-01,1.327434e+00,2.256567e+02
4.086206e+01,-1.190008e+00,1.700505e+00,2.250710e+02
4.445487e+01,4.540647e-01,1.028331e+00,3.580396e+02
2.482878e+01,-6.777743e+00,1.586972e+00,1.517192e+02
8.286829e+01,1.040020e+00,2.138998e+00,9.717778e+03
5.091647e+01,-5.960081e+00,6.640056e+00,4.562695e+02
3.011978e+01,-1.462185e+00,1.274730e+00,1.597042e+02
4.267277e+01,9.619959e-01,1.293481e+00,2.387317e+02
7.132535e+01,-7.852161e-01,2.552379e+00,4.307339e+03
2.665783e+01,1.742370e+00,1.872052e+00,1.109705e+02
1.163886e+02,-9.004305e-01,1.938114e+00,9.824150e+03
4.123004e+01,2.911115e+00,1.160808e+00,1.637547e+02
6.645889e+01,-5.945965e-01,2.285895e+00,1.499720e+03
3.474123e+01,8.298164e-02,6.761172e+00,1.883090e+02
4.206399e+01,-8.451409e-02,1.037622e+00,3.685075e+02
6.189834e+01,2.052134e+00,1.719453e+00,6.841695e+02
3.806351e+01,4.065080e+00,4.087258e+00,1.820934e+02
6.655681e+01,9.833687e-01,2.229655e+00,1.406275e+03
1.003460e+02,1.325865e+00,4.343963e-01,9.417295e+03
8.775217e+01,-3.298768e+00,2.130510e+00,9.985371e+03
5.959389e+01,-6.352030e-01,4.707223e+00,6.012839e+02
3.955595e+01,2.579464e+00,3.384201e+00,1.718049e+02
2.529732e+01,2.584922e+00,2.323127e+00,1.060467e+02
1.389875e+02,3.830564e-01,3.867231e+00,9.831411e+03
2.429152e+01,-6.743365e-01,4.176573e+00,1.167707e+02
3.743951e+01,-2.290838e+00,2.202660e+00,1.752341e+02
5.538890e+01,5.433942e-01,9.524695e-01,7.224177e+02
3.979240e+01,1.549546e+00,2.693206e+00,1.696457e+02
5.742291e+01,1.163869e+00,1.176860e+00,5.837576e+02
2.403527e+01,-1.877761e+00,5.451013e+00,1.316975e+02
1.152339e+02,3.262006e+00,1.584804e+00,9.653166e+03
2.522322e+01,-2.867053e+00,4.831302e+00,1.346949e+02
5.966118e+01,1.584989e+00,3.506867e+00,5.626202e+02
6.264602e+01,2.857301e+00,3.084369e+00,7.217344e+02
5.873642e+01,-1.680363e+00,2.974797e+00,5.598771e+02
5.884310e+01,-1.629764e+00,2.130317e+00,6.012269e+02
5.024424e+01,7.682439e-01,2.887855e+00,2.952676e+02
5.796676e+01,3.992972e+00,7.576959e+00,6.667317e+02
6.132687e+01,-1.120353e+00,8.721750e-01,1.156992e+03
1.292668e+02,-1.764386e+00,2.775644e+00,9.779269e+03
8.373099e+00,3.046607e-02,2.420587e+00,9.070269e+01
6.943572e+01,5.279098e+00,6.635766e+00,2.166171e+03
3.728656e+01,9.789959e-01,2.163372e+00,1.630766e+02
6.246074e+01,-2.550191e+00,3.062891e+00,7.827895e+02
5.264794e+01,-1.017557e-01,2.824836e+00,3.582911e+02
1.109885e+02,-4.030952e+00,3.171444e+00,9.789455e+03
4.278194e+01,-4.308866e+00,2.604255e+00,2.310601e+02
8.361752e+01,-1.084596e+00,9.072573e-01,1.017188e+04
6.174421e+01,-1.127806e+00,4.646226e+00,7.328096e+02
1.824578e+01,-2.600091e+00,3.280651e+00,1.057895e+02
6.935956e+01,-2.035071e+00,4.694391e-01,2.998024e+03
1.331663e+02,1.178758e+00,1.414586e+00,9.910042e+03
6.569358e+01,-5.576410e+00,5.353247e+00,1.315143e+03
5.622172e+01,4.853196e-01,1.618524e+00,5.669301e+02
4.180821e+01,2.229618e+00,2.753017e+00,1.812438e+02
1.341451e+02,8.749898e-01,1.868732e-01,9.889415e+03
4.710876e+01,6.971981e-01,3.618300e+00,2.489834e+02
1.186591e+02,-3.158832e+00,1.099458e+00,9.787978e+03
3.830738e+01,-1.260424e+00,8.778691e-01,2.495050e+02
5.505827e+01,-9.704825e-01,9.310857e-01,6.906233e+02
3.105976e+01,-2.440080e+00,4.098735e-01,1.507545e+02
1.122773e+02,-9.328302e-01,2.850381e+00,9.861280e+03
1.078034e+02,-3.607935e+00,6.695923e+00,9.839607e+03
3.101304e+01,-1.981619e+00,2.073963e+00,1.423308e+02
1.980276e+01,1.255619e+00,3.672530e+00,1.013428e+02
5.322669e+01,1.963313e+00,3.443014e+00,3.435637e+02
1.357194e+02,2.492282e+00,1.961397e+00,9.896937e+03
3.829349e+01,1.960375e+00,1.720071e+00,1.547305e+02
2.162431e+01,-3.554441e-01,4.563367e+00,1.122873e+02
1.865610e+01,1.683539e+00,3.675194e+00,9.964318e+01
4.367056e+01,-1.465369e+00,3.584662e+00,2.219421e+02
2.590899e+01,-4.713982e+00,2.506519e+00,1.358798e+02
4.851760e+01,-3.320238e+00,3.017635e+00,2.925969e+02
3.699823e+01,-1.165873e+00,2.130760e+00,1.787900e+02
1.355890e+02,1.733927e-01,1.060262e+00,9.847358e+03
4.236590e+01,-1.232522e+00,1.448897e+00,2.539302e+02
5.269757e+01,-3.806964e-01,3.287095e+00,3.537093e+02
6.118812e+01,-8.816336e-01,1.520728e+00,9.433137e+02
5.891870e+01,-4.899820e+00,4.214830e+00,6.436911e+02
1.240793e+02,-3.119895e-01,3.177478e+00,9.844875e+03
1.312358e+01,-1.682434e-01,1.733111e+00,1.101822e+02
5.922205e+01,-8.030815e-01,3.131434e+00,5.808802e+02
5.797127e+01,-6.779911e-01,3.384989e+00,5.173971e+02
1.607589e+01,8.168345e-01,1.160230e+00,1.230840e+02
3.536550e+01,6.616483e-01,2.312241e+00,1.548242e+02
3.507109e+01,1.838271e+00,3.277938e+00,1.447632e+02
6.377682e+01,-2.513075e+00,2.986584e+00,9.009654e+02
3.125430e+01,-4.417218e-01,8.575067e+00,1.981772e+02
2.369924e+01,-7.563943e-01,2.327965e+00,1.173432e+02
2.780564e+01,6.377898e-01,7.250647e-01,2.048671e+02
1.311496e+01,5.019760e+00,2.708470e+00,1.041425e+02
4.171106e+01,1.001719e+00,3.738897e+00,1.926625e+02
8.268186e+01,2.189710e+00,5.534354e+00,9.839266e+03
3.105464e+01,-9.833008e-01,6.440271e+00,1.661779e+02
5.606457e+01,-1.034146e+00,3.309732e+00,4.495279e+02
2.851901e+01,2.980508e+00,1.906055e+00,1.126560e+02
6.222877e+01,-3.633541e+00,3.064022e+00,7.779496e+02
3.364379e+01,1.768310e+00,9.796597e-01,1.384638e+02
1.252843e+02,-1.404288e+00,7.822768e-01,9.736216e+03
4.547936e+01,1.670538e+00,3.021153e+00,2.194827e+02
3.535585e+01,-3.634670e-01,2.145767e+00,1.699140e+02
5.141283e+01,-2.093419e+00,3.087950e+00,3.345714e+02
5.775731e+01,-9.426032e-01,1.757126e+00,6.275391e+02
9.731610e+01,-5.061722e-01,3.005679e+00,9.948546e+03
3.986262e+01,1.094476e+00,2.054687e+00,1.797969e+02
1.765712e+01,3.643169e-01,3.242395e+00,9.740160e+01
5.840887e+01,3.204450e+00,2.228962e+00,4.686434e+02
3.172910e+01,-3.414193e+00,3.060661e+00,1.498527e+02
4.581105e+01,-1.611198e+00,3.107706e+00,2.458059e+02
1.362181e+02,-3.330948e-01,5.048305e+00,9.827902e+03
4.924655e+01,3.224735e+00,3.183558e+00,2.691180e+02
5.081051e+01,1.027036e+00,1.536866e+00,3.449476e+02
5.595032e+01,-3.382430e+00,1.939043e+00,4.555989e+02
1.137860e+01,-8.517585e-01,5.012501e-01,1.702274e+02
1.752016e+01,2.647399e+00,3.478634e-01,9.050338e+01
4.781816e+01,-3.777347e-01,5.614287e-01,7.756256e+02
7.545621e+01,2.686139e+00,1.946620e+00,9.097925e+03
2.806058e+01,-2.411945e+00,3.460925e+00,1.312105e+02
5.301341e+01,3.249046e+00,5.967087e+00,4.157848e+02
1.012528e+01,2.623490e+00,2.692594e+00,8.795339e+01
3.862550e+01,-7.753400e-01,2.472974e+00,1.837281e+02
6.259706e+01,-2.423948e+00,2.927496e+00,7.954663e+02
5.209689e+01,2.878356e-01,1.574108e+00,4.426832e+02
4.021614e+01,-2.511417e+00,8.453359e-01,2.048366e+02
3.539187e+01,6.897923e-01,2.907148e+00,1.498805e+02
6.099701e+01,2.810684e+00,2.220296e+00,5.927776e+02
2.467324e+01,1.291584e+00,3.578348e+00,1.108897e+02
1.015544e+02,-2.319098e+00,1.671348e+00,9.858747e+03
4.018546e+01,1.515657e-01,8.162718e-01,3.946962e+02
1.114738e+02,1.413059e+00,2.433627e+00,9.883334e+03
2.136645e+01,9.253363e-01,2.349424e+00,1.038017e+02
4.389952e+01,9.293915e-01,1.585099e+00,2.381413e+02
1.218913e+02,9.639798e-01,1.277439e+00,9.889362e+03
5.810552e+01,1.453982e+00,2.524359e+00,4.964366e+02
6.559630e+01,1.893438e+00,2.307313e+00,1.072008e+03
3.028195e+01,8.055668e+00,1.090353e+00,1.736123e+02
5.451297e+01,-2.065900e+00,1.647720e+00,4.361805e+02
3.654593e+01,5.926481e-02,2.231730e+00,1.716158e+02
5.341944e+01,7.935730e-01,9.147115e-01,5.510512e+02
6.220721e+01,-3.481370e+00,4.268229e+00,8.025823e+02
4.921836e+01,3.040656e-01,4.202630e+00,2.866224e+02
3.484000e+01,3.380958e+00,1.159653e+00,1.315883e+02
8.029761e+01,1.670318e+00,8.503897e-01,8.916114e+03
1.387599e+02,-2.077292e+00,8.692905e-01,9.744137e+03
1.285307e+02,-3.950778e-01,1.535049e+00,9.811105e+03
1.837158e+01,-1.923217e+00,2.012793e+00,1.048114e+02
6.382007e+01,-4.391558e+00,2.022601e+00,9.222256e+02
1.246417e+02,-1.267084e+00,2.098249e+00,9.784095e+03
4.820842e+01,1.157544e+00,1.618077e+00,2.815531e+02
2.330531e+01,-4.111723e-01,2.643757e+00,1.123819e+02
6.212248e+01,-2.148255e+00,2.387478e+00,7.781150e+02
3.772037e+01,1.376052e+00,8.719372e-01,1.805023e+02
3.100215e+01,-2.580572e-01,5.156994e+00,1.471470e+02
1.314024e+02,8.197762e-02,5.679333e+00,9.835726e+03
5.203346e+01,-1.949709e+00,2.543146e+00,3.512587e+02
3.667638e+01,-8.210292e-02,4.167642e+00,1.647269e+02
3.064821e+01,-9.124772e-01,1.173334e+00,1.898853e+02
2.121363e+01,1.971367e+00,1.495159e+00,9.871862e+01
1.962270e+01,8.533194e-01,3.004668e+00,9.928494e+01
6.899506e+01,-4.132388e-01,3.570410e+00,1.913984e+03
4.019424e+01,1.557605e+00,3.580267e+00,1.780400e+02
4.178964e+01,-1.887750e+00,2.558719e+00,2.069752e+02
2.641743e+01,-2.688508e-01,1.896205e+00,1.362344e+02
1.148627e+02,-3.339819e+00,1.215545e+00,9.802113e+03
7.059664e+01,-1.072790e-01,1.567786e+00,5.507559e+03
